(0.000000, 0.414551)
(0.100000, 0.534459)
(0.200000, 0.682073)
(0.300000, 0.643164)
(0.400000, 0.768891)
(0.500000, 0.660281)
(0.600000, 0.664503)
(0.700000, 0.828999)
(0.800000, 1.022350)
(0.900000, 1.086770)
(1.000000, 1.076890)
(1.100000, 1.050970)
(1.200000, 1.185150)
(1.300000, 1.181780)
(1.400000, 0.895727)
(1.500000, 0.793580)
(1.600000, 0.804691)
(1.700000, 0.859215)
(1.800000, 0.916542)
(1.900000, 0.731479)
(2.000000, 0.615590)
(2.100000, 0.638317)
(2.200000, 0.583177)
(2.300000, 0.466660)
(2.400000, 0.366097)
(2.500000, 0.289775)
(2.600000, 0.170107)
(2.700000, 0.039989)
(2.800000, -0.063415)
(2.900000, -0.162350)
(3.000000, -0.274137)
(3.100000, -0.390202)
(3.200000, -0.388586)
(3.300000, -0.627472)
(3.400000, -0.460055)
(3.500000, -0.566657)
(3.600000, -0.718847)
(3.700000, -0.616809)
(3.800000, -0.946822)
(3.900000, -1.135840)
(4.000000, -0.782122)
(4.100000, -0.992098)
(4.200000, -1.204490)
(4.300000, -1.018990)
(4.400000, -1.165920)
(4.500000, -1.190630)
(4.600000, -0.812425)
(4.700000, -1.108560)
(4.800000, -0.752746)
(4.900000, -0.655559)
(5.000000, -0.737509)
(5.100000, -0.799995)
(5.200000, -0.546093)
(5.300000, -0.531922)
(5.400000, -0.516011)
(5.500000, -0.472423)
(5.600000, -0.348306)
(5.700000, -0.190675)
(5.800000, -0.098166)
(5.900000, 0.011043)
(6.000000, 0.110407)
(6.100000, 0.207854)
(6.200000, 0.379377)
(6.300000, 0.400733)
-10x^0 + 3x^1 + 4x^2 + 10x^3 + -1.0878e-311x^4

